Rank	Score	ORPHA_ID	Disease_Name	Matched_Phenotype	Causative_Gene
1	1.0	ORPHA:397709	autosomal recessive spinocerebellar ataxia 20	HP:0001250	SNX14
1	1.0	ORPHA:2149	nodular neuronal heterotopia	HP:0001250	
1	1.0	ORPHA:35701	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	HP:0001250	HMGCS2
1	1.0	ORPHA:2798	pachygyria-intellectual disability-epilepsy syndrome	HP:0001250	
1	1.0	ORPHA:85294	epilepsy, X-linked 1, with variable learning disabilities and behavior disorders	HP:0001250	SYN1
1	1.0	ORPHA:79328	ALG9-congenital disorder of glycosylation	HP:0001250	ALG9
1	1.0	ORPHA:79330	MOGS-congenital disorder of glycosylation	HP:0001250	MOGS
1	1.0	ORPHA:1062	hereditary neurocutaneous angioma	HP:0001250	
1	1.0	ORPHA:3052	X-linked intellectual disability-seizures-psoriasis syndrome	HP:0001250	
1	1.0	ORPHA:3233	cochleosaccular degeneration-cataract syndrome	HP:0001250	
1	1.0	ORPHA:2148	lissencephaly type 1 due to doublecortin gene mutation	HP:0001250	DCX
1	1.0	ORPHA:1313	infantile choroidocerebral calcification syndrome	HP:0001250	
1	1.0	ORPHA:85338	X-linked intellectual disability-ataxia-apraxia syndrome	HP:0001250	
1	1.0	ORPHA:247262	hyperphosphatasia-intellectual disability syndrome	HP:0001250	PIGY,PIGO,PGAP2,PIGW,PIGL,PGAP3,PIGV
1	1.0	ORPHA:466926	seizures-scoliosis-macrocephaly syndrome	HP:0001250	EXT2
1	1.0	ORPHA:79326	ALG2-congenital disorder of glycosylation	HP:0001250	ALG2
1	1.0	ORPHA:26792	short chain acyl-CoA dehydrogenase deficiency	HP:0001250	ACADS
1	1.0	ORPHA:94083	Partington syndrome	HP:0001250	ARX
1	1.0	ORPHA:79323	MPDU1-congenital disorder of glycosylation	HP:0001250	MPDU1
1	1.0	ORPHA:382	guanidinoacetate methyltransferase deficiency	HP:0001250	GAMT
1	1.0	ORPHA:1708	mosaic trisomy 16	HP:0001250	
1	1.0	ORPHA:85336	X-linked neurodegenerative syndrome, Hamel type	HP:0001250	
1	1.0	ORPHA:419	hyperprolinemia type 1	HP:0001250	PRODH
1	1.0	ORPHA:404493	spinocerebellar ataxia, autosomal recessive 23	HP:0001250	TDP2
1	1.0	ORPHA:1949	benign neonatal seizures	HP:0002133	KCNQ2,KCNQ3
1	1.0	ORPHA:79322	congenital disorder of glycosylation type 1E	HP:0001250	DPM1
1	1.0	ORPHA:1380	cataract-nephropathy-encephalopathy syndrome	HP:0001250	
1	1.0	ORPHA:251028	2q33.1 microdeletion syndrome	HP:0001250	SATB2
1	1.0	ORPHA:2590	spinal muscular atrophy-progressive myoclonic epilepsy syndrome	HP:0001250	ASAH1
1	1.0	ORPHA:86309	DPAGT1-congenital disorder of glycosylation	HP:0001250	DPAGT1
1	1.0	ORPHA:1948	epilepsy-microcephaly-skeletal dysplasia syndrome	HP:0001250	
1	1.0	ORPHA:3175	X-linked spasticity-intellectual disability-epilepsy syndrome	HP:0002133	ARX
1	1.0	ORPHA:163727	rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	HP:0001250	TBC1D24
1	1.0	ORPHA:85319	X-linked intellectual disability-epilepsy-progressive joint contractures-dysmorphism syndrome	HP:0001250	
1	1.0	ORPHA:2048	foix chavany Marie syndrome	HP:0001250	
1	1.0	ORPHA:1182	spastic ataxia 7	HP:0001250	
1	1.0	ORPHA:306550	FADD-related immunodeficiency	HP:0001250	FADD
1	1.0	ORPHA:2773	osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome	HP:0001250	
1	1.0	ORPHA:2151	Hirschsprung disease-ganglioneuroblastoma syndrome	HP:0001250	PHOX2B
1	1.0	ORPHA:79327	ALG1-congenital disorder of glycosylation	HP:0001250	ALG1
1	1.0	ORPHA:163985	developmental and epileptic encephalopathy, 8	HP:0002384	ARHGEF9
1	1.0	ORPHA:60015	parietal foramina	HP:0001250	ALX4,MSX2
1	1.0	ORPHA:263458	hyperinsulinism due to INSR deficiency	HP:0001250	INSR
1	1.0	ORPHA:2597	mitochondrial myopathy-lactic acidosis-deafness syndrome	HP:0001250	
1	1.0	ORPHA:166063	pontocerebellar hypoplasia type 4	HP:0001250	TSEN54
1	1.0	ORPHA:412069	AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome	HP:0001250	AHDC1
1	1.0	ORPHA:1229	pseudo-TORCH syndrome	HP:0001250	OCLN
1	1.0	ORPHA:2260	oligomeganephronia	HP:0001250	
1	1.0	ORPHA:51608	arterial calcification of infancy	HP:0001250	ABCC6,ENPP1
1	1.0	ORPHA:46348	paroxysmal extreme pain disorder	HP:0001250	SCN11A,SCN9A,SCN10A
1	1.0	ORPHA:228415	5q35 microduplication syndrome	HP:0001250	NSD1
1	1.0	ORPHA:79135	episodic ataxia type 3	HP:0001250	
1	1.0	ORPHA:250977	AICA-ribosiduria	HP:0001250	ATIC
1	1.0	ORPHA:2139	HernÃ¡ndez-Aguirre Negrete syndrome	HP:0001250	
1	1.0	ORPHA:85334	X-linked neurodegenerative syndrome, Bertini type	HP:0002123	
1	1.0	ORPHA:1951	epilepsy-telangiectasia syndrome	HP:0001250	
1	1.0	ORPHA:147	carbamoyl phosphate synthetase I deficiency disease	HP:0001250	CPS1
1	1.0	ORPHA:972	hereditary continuous muscle fiber activity	HP:0001250	KCNA1
1	1.0	ORPHA:1361	carnosinemia	HP:0002123	
1	1.0	ORPHA:1445	ring chromosome 21	HP:0001250	
1	1.0	ORPHA:139406	combined PSAP deficiency	HP:0002069	PSAP
1	1.0	ORPHA:90647	Jervell and Lange-Nielsen syndrome	HP:0001250	KCNE1,KCNQ1
1	1.0	ORPHA:2379	early-onset parkinsonism-intellectual disability syndrome	HP:0001250	RAB39B
1	1.0	ORPHA:79321	ALG3-congenital disorder of glycosylation	HP:0001250	ALG3
1	1.0	ORPHA:1398	isolated cerebellar hypoplasia/agenesis	HP:0001250	
1	1.0	ORPHA:435934	congenital disorder of glycosylation, type IIq	HP:0010818	COG2
1	1.0	ORPHA:79137	generalized epilepsy-paroxysmal dyskinesia syndrome	HP:0002069	KCNMA1
1	1.0	ORPHA:199296	congenital isolated adrenocorticotropic hormone deficiency	HP:0002173	TBX19
1	1.0	ORPHA:404499	autosomal recessive spinocerebellar ataxia 15	HP:0001250	RUBCN
1	1.0	ORPHA:25968	self-limited childhood occipital epilepsy	HP:0002384	
1	1.0	ORPHA:436141	severe intellectual disability-hypotonia-strabismus-coarse face-planovalgus syndrome	HP:0001250	P4HTM
1	1.0	ORPHA:551	MERRF syndrome	HP:0002123	ND5,TRNL1,TRNH,TRNP,TRNS1,TRNF,TRNK
1	1.0	ORPHA:329329	autosomal recessive frontotemporal pachygyria	HP:0001250	
1	1.0	ORPHA:3327	thyrocerebrorenal syndrome	HP:0001250	
1	1.0	ORPHA:118	beta-mannosidosis	HP:0001250	MANBA
1	1.0	ORPHA:569	familial or sporadic hemiplegic migraine	HP:0002133	CACNA1A,PRRT2,SCN1A,ATP1A2
1	1.0	ORPHA:86814	benign adult familial myoclonic epilepsy	HP:0002197	CNTN2,RAPGEF2,SAMD12,TNRC6A,YEATS2,CTNND2,ADRA2B,MARCHF6
1	1.0	ORPHA:137675	histiocytoid cardiomyopathy	HP:0001250	
1	1.0	ORPHA:100924	porphyria due to ALA dehydratase deficiency	HP:0001250	ALAD
1	1.0	ORPHA:85286	syndromic X-linked intellectual disability Shashi type	HP:0001250	RBMX
1	1.0	ORPHA:1551	familial benign copper deficiency	HP:0001250	
1	1.0	ORPHA:370943	autism spectrum disorder - epilepsy - arthrogryposis syndrome	HP:0002121	SLC35A3
1	1.0	ORPHA:254857	lethal infantile mitochondrial myopathy	HP:0001250	
1	1.0	ORPHA:217377	chromosome Xp11.23-p11.22 duplication syndrome	HP:0001250	IQSEC2
1	1.0	ORPHA:139426	perioral myoclonia with absences	HP:0002069	
1	1.0	ORPHA:199343	EAST syndrome	HP:0001250	KCNJ10
1	1.0	ORPHA:725	developmental and/or epileptic encephalopathy with spike-wave activation in sleep	HP:0001250	GRIN2A,FRRS1L
1	1.0	ORPHA:254351	distal 7q11.23 microdeletion syndrome	HP:0001250	
1	1.0	ORPHA:2744	horizontal gaze palsy with progressive scoliosis	HP:0001250	DCC,ROBO3
1	1.0	ORPHA:1941	juvenile absence epilepsy	HP:0002069	EFHC1
1	1.0	ORPHA:2238	familial hypoparathyroidism	HP:0001250	
1	1.0	ORPHA:324290	early-onset Lafora body disease	HP:0001250	PRDM8
1	1.0	ORPHA:621	hereditary methemoglobinemia	HP:0001250	CYB5A,CYB5R3
1	1.0	ORPHA:100988	hereditary spastic paraplegia 6	HP:0002069	NIPA1
1	1.0	ORPHA:370921	STT3A-congenital disorder of glycosylation	HP:0001250	STT3A
1	1.0	ORPHA:2026	gingival fibromatosis-hypertrichosis syndrome	HP:0001250	ABCA5
1	1.0	ORPHA:79299	hyperinsulinism due to glucokinase deficiency	HP:0001250	GCK
1	1.0	ORPHA:1861	thoracic dysplasia-hydrocephalus syndrome	HP:0001250	
1	1.0	ORPHA:158	systemic primary carnitine deficiency disease	HP:0007334	SLC22A5
1	1.0	ORPHA:137754	aminoacylase 1 deficiency	HP:0001250	ACY1
1	1.0	ORPHA:3008	pyruvate carboxylase deficiency disease	HP:0001250	PC
1	1.0	ORPHA:1947	neuronal ceroid lipofuscinosis 8 northern epilepsy variant	HP:0002069	CLN8
1	1.0	ORPHA:53583	dystonia 9	HP:0002069	SLC2A1
1	1.0	ORPHA:293964	hypoinsulinemic hypoglycemia and body hemihypertrophy	HP:0002173	AKT2
1	1.0	ORPHA:363654	X-linked parkinsonism-spasticity syndrome	HP:0001250	ATP6AP2
1	1.0	ORPHA:85165	severe achondroplasia-developmental delay-acanthosis nigricans syndrome	HP:0002197	FGFR3
1	1.0	ORPHA:320355	hereditary spastic paraplegia 41	HP:0001250	
1	1.0	ORPHA:101009	hereditary spastic paraplegia 29	HP:0001250	
1	1.0	ORPHA:2089	glycogen storage disorder due to hepatic glycogen synthase deficiency	HP:0001250	GYS2
1	1.0	ORPHA:2732	olivopontocerebellar atrophy-deafness syndrome	HP:0001250	
1	1.0	ORPHA:247257	inhalational anthrax	HP:0011159	
1	1.0	ORPHA:1945	self-limited epilepsy with centrotemporal spikes	HP:0002373	GRIN2A,GABRG2,SRPX2
1	1.0	ORPHA:261204	16p11.2p12.2 microduplication syndrome	HP:0001250	
1	1.0	ORPHA:209967	episodic ataxia type 6	HP:0001250	SLC1A3
1	1.0	ORPHA:1929	Rasmussen subacute encephalitis	HP:0002349	
1	1.0	ORPHA:306741	hemidystonia-hemiatrophy syndrome	HP:0001250	
1	1.0	ORPHA:212	cystathioninuria	HP:0001250	CTH
1	1.0	ORPHA:101112	spinocerebellar ataxia type 26	HP:0001250	EEF2
1	1.0	ORPHA:101003	hereditary spastic paraplegia 23	HP:0001250	DSTYK
1	1.0	ORPHA:1858	skeletal dysplasia-epilepsy-short stature syndrome	HP:0001250	
